,,August,August,August,August,August,August,August,August,August,September,September,September,September,September,September,September,September,September,October,October,October,October,October,October,October,October,October
Block Name,No of residing students,Monthly Electricity Consumption(KWH),Elecricity consumption/person,Monthly Water Consumption,Water/person,Monthly CO2 emission,CO2/person,Food Wastage(kg),Wastage/person,Carbon footprint,Monthly Electricity Consumption,Electricity/person,Monthly Water Consumption,Water/person,Monthly CO2 emission,CO2/person,Food Wastage,Wastage/person,Carbon Footprint,Monthly Electricity Consumption,Electricity/person,Monthly Water Consumption,Water/person,Monthly CO2 emission,CO2/person,Food Wastage,Food wastage/person,Carbon Footprint
E,450,26370,58.6,1105000,2455.55,"21,438.81",47.60,615,1.366666667,,26504,58.89777778,775000,465.1860744,21547.752,47.88389333,600,1.333333333,,21651,48.11333333,2180000,4844.444444,17602.26,39.11613333,532,1.182222222,
K,1666,46528,27.92,7792000,4677.07,37827.26,22.7,585,0.351140456,,49161,29.50840336,8720000,5162.818236,39967.89,23.99033013,664,0.398559424,,35272,21.17166867,4669000,2802.521008,28676.13,17.21256303,664,0.398559424,
L,1689,108444,64.25,10253000,6070.45,88164.97,52.199,680,0.402605092,,115368,68.30550622,12194000,12194,93794.18,55.53237419,648,0.38365897,,85071,50.36767318,6435000,3809.946714,69162.72,40.94891652,680,0.402605092,
G(girls),1000,72110,25.08,3308105,3308.1,58625.43,58.62,632,0.632,,72451,72.451,3108105,3108.105,58902.66,58.90266,680,0.68,,65193,65.193,"29,08,125",2908.125,53001.9,53.0019,615,0.615,
H(girls),1000,63218,96.92,2992500,2992.5,51396.23,51.39,532,0.532,,61678,61.678,3072500,3072.5,50144.21,50.14421,574,0.574,,54845,54.845,2972500,2972.5,44588.98,44.58898,632,0.632,
J(girls),1000,57473,25.57,3657375,3657.37,46725.54,46.72,624,0.624,,54719,54.719,3758375,3758.37,44486.54,44.48654,630,0.63,,51523,51.523,3054375,3054.375,41888.19,41.88819,630,0.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,
