id,user_id,created_at,delta,reason,date,points_change
,1001,,,Weekly Submission,2025-11-06,17
,1001,,,Weekly Submission,2025-11-07,21
,1001,,,Weekly Submission,2025-11-07,5
,1001,,,Weekly Submission,2025-11-07,5
,1001,,,Weekly Submission,2025-11-08,7
,1001,,,Weekly Submission,2025-11-08,21
,1001,,,Weekly Submission,2025-11-08,31
,1002,,,Weekly Submission,2025-11-08,32
,1003,,,Weekly Submission,2025-11-08,5
,1003,,,Weekly Submission,2025-11-08,31
,1004,,,Weekly Submission,2025-11-08,21
,1005,,,Weekly Submission,2025-11-08,22
,1006,,,Weekly Submission,2025-11-08,5
,1001,,,Weekly Submission,2025-11-08,33
,1007,,,Weekly Submission,2025-11-08,23
